'NR_ZAWODOW','NR_ZAWODNIKA','REZULTAT_MIN','REZULTAT_SEK','POZYCJA','PUNKTY_GLOBALNE','PUNKTY_KATEGORII','POZYCJA_KATEGORIA','POZYCJA_GLOBALNIE','LOKATA_W_BIEGU'
3,206,55,10,1,,17,34,,124
3,209,55,4,1,,23,28,,123
3,214,37,49,1,37,46,5,14,14
3,218,38,58,1,30,43,8,21,21
3,221,39,39,1,26,42,9,25,25
3,222,38,14,1,33,47,4,18,18
3,224,34,23,1,47,49,2,4,4
3,228,56,31,1,,23,28,,132
3,240,43,14,1,2,43,8,49,49
3,241,45,42,1,,49,2,,64
3,247,45,52,1,,36,15,,69
3,248,46,26,1,,28,23,,76
3,253,41,54,1,11,45,6,40,40
3,254,45,48,1,,38,13,,67
3,260,35,59,1,43,49,2,8,8
3,261,48,30,1,,48,3,,88
3,262,35,26,1,44,46,5,7,7
3,263,38,9,1,34,44,7,17,17
3,265,45,23,1,,35,16,,63
3,267,57,39,1,,23,28,,134
3,283,55,15,1,,16,35,,125
3,285,53,39,1,,18,33,,118
3,289,43,51,1,,41,10,,57
3,291,52,42,1,,27,24,,112
3,293,52,43,1,,26,25,,113
3,295,39,45,1,25,41,10,26,26
3,298,36,18,1,42,49,2,9,9
3,302,47,35,1,,35,16,,82
3,304,43,19,1,,38,13,,51
3,309,43,9,1,3,39,12,48,48
3,316,56,29,2,,24,27,,131
3,319,46,40,1,,27,24,,78
3,326,40,58,1,17,48,3,34,34
3,332,37,52,1,36,48,3,15,15
3,333,34,5,1,49,50,1,2,2
3,338,36,38,1,41,45,6,10,10
3,344,55,20,1,,46,5,,126
3,355,41,36,1,12,41,10,39,39
3,359,40,31,1,21,49,2,30,30
3,366,44,13,1,,39,12,,60
3,372,49,49,1,,29,22,,95
3,373,58,19,1,,21,30,,135
3,374,54,49,1,,24,27,,122
3,375,50,17,1,,31,20,,99
3,376,48,50,1,,31,20,,90
3,381,40,46,1,18,40,11,33,33
3,394,39,22,1,29,45,6,22,22
3,406,52,12,1,,26,25,,110
3,413,38,43,1,32,43,8,19,19
3,416,46,38,1,,33,18,,77
3,420,42,7,1,9,37,14,42,42
3,421,49,33,1,,32,19,,94
3,422,56,21,1,,14,37,,130
3,423,41,25,1,13,46,5,38,38
3,450,43,31,1,,39,12,,52
3,451,48,11,1,,25,26,,86
3,455,55,30,1,,45,6,,127
